No.,Channel Name,Receive Frequency,Transmit Frequency,Channel Type,Transmit Power,Band Width,CTCSS/DCS Decode,CTCSS/DCS Encode,Contact,Contact Call Type,Contact TG/DMR ID,Radio ID,Busy channel Lock-Out/TX Permit,Squelch Mode,Optional Signal,DTMF ID,2Tone ID,5Tone ID,PTT ID,Color Code,Slot,Receive Group List,TX Prohibit,Reverse,Simplex TDMA,TDMA Adaptive,Encryption Type,Digital Encryption,Call Confirmation,Talk Around,Work Alone,Custom CTCSS,2TONE Decode,DTMF Own ID,5TONE Own ID,Scan List 1,Scan List 2,Scan List 3,Scan List 4,Scan List 5,Scan List 6,Scan List 7,Scan List 8,Ranging,Through Mode,APRS Report,APRS Report Channel
35,A 11 - 446.13125,446.13125,446.13125,A-Analog,Low,12.5K,Off,Off,Simplex,Group Call,99,,Off,Carrier,Off,1,1,1,Off,1,1,Simplex TG-99,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,PMR & DMR - 446,,,,,,,,Off,Off,Off,1
36,A 12 - 446.14375,446.14375,446.14375,A-Analog,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Off,Carrier,Off,1,1,1,Off,1,1,Simplex TG-99,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,PMR & DMR - 446,,,,,,,,Off,Off,Off,1
37,A 13 - 446.15625,446.15625,446.15625,A-Analog,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Off,Carrier,Off,1,1,1,Off,1,1,Simplex TG-99,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,PMR & DMR - 446,,,,,,,,Off,Off,Off,1
38,A 14 - 446.16875,446.16875,446.16875,A-Analog,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Off,Carrier,Off,1,1,1,Off,1,1,Simplex TG-99,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,PMR & DMR - 446,,,,,,,,Off,Off,Off,1
39,A 15 - 446.18125,446.18125,446.18125,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,1,1,Simplex TG-99,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,PMR & DMR - 446,,,,,,,,Off,Off,Off,1
40,A 16 - 446.19375,446.19375,446.19375,D-Digital,Turbo,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,1,1,Simplex TG-99,Off,Off,On,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,PMR & DMR - 446,,,,,,,,Off,On,Off,1
41,S1 DMR 433.600,433.60000,433.60000,D-Digital,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Simplex TG-99,Off,Off,Off,Off,Normal Encryption,Off,On,Off,Off,251.1,1,1,1,SIMPLEX DMR,,,,,,,,Off,Off,Off,1
42,S2 DMR 433.625,433.62500,433.62500,D-Digital,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Simplex TG-99,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX DMR,,,,,,,,Off,Off,Off,1
43,S3 DMR 433.650,433.65000,433.65000,D-Digital,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Simplex TG-99,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX DMR,,,,,,,,Off,Off,Off,1
44,S4 DMR 433.675,433.67500,433.67500,D-Digital,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Simplex TG-99,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX DMR,,,,,,,,Off,Off,Off,1
45,S5 DMR 433.700,433.70000,433.70000,D-Digital,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Simplex TG-99,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX DMR,,,,,,,,Off,Off,Off,1
46,S6 DMR 433.725,433.72500,433.72500,D-Digital,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Simplex TG-99,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX DMR,,,,,,,,Off,Off,Off,1
47,S7 DMR 433.750,433.75000,433.75000,D-Digital,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Simplex TG-99,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX DMR,,,,,,,,Off,Off,Off,1
48,S8 DMR 433.775,433.77500,433.77500,D-Digital,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Simplex TG-99,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX DMR,,,,,,,,Off,Off,Off,1
49,C1 DMR 434.450,434.45000,434.45000,D-Digital,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Simplex TG-99,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX DMR,,,,,,,,Off,Off,Off,1
50,C2 DMR 434.475,434.47500,434.47500,D-Digital,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,ChannelFree,Carrier,Off,1,1,1,Off,1,1,Simplex TG-99,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX DMR,,,,,,,,Off,Off,Off,1
51,433.400,433.40000,433.40000,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,Simplex TG-99,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
52,433.425,433.42500,433.42500,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,Simplex TG-99,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
53,433.450,433.45000,433.45000,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,Simplex TG-99,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
54,433.475,433.47500,433.47500,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,Simplex TG-99,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
55,UHF - Appel FM,433.50000,433.50000,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,Simplex TG-99,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
